DBASSP3_11539	DBASSP3_11539
DBASSP3_11806	DBASSP3_11806
DBASSP3_11951	DBASSP3_11951
DBASSP3_12154	DBASSP3_12154
CAMPSQ2604	CAMPSQ2604
CAMPSQ2831	CAMPSQ2831
CAMPSQ2831	satpdb18491
CAMPSQ2831	AP00654
CAMPSQ2831	CAMPSQ3294
CAMPSQ2831	CAMPSQ3295
CAMPSQ2831	DBASSP3_5285
CAMPSQ2831	CAMPSQ3146
CAMPSQ2831	satpdb15722
CAMPSQ2831	E04185|Antimicrobialpeptide14,Ranatuerin2ARb|crawfishfrog(Ranaareolata)
CAMPSQ3345	CAMPSQ3345
CAMPSQ3990	CAMPSQ3990
DBASSP3_161	DBASSP3_161
DBASSP3_161	DRAMP03942
DBASSP3_498	DBASSP3_498
DBASSP3_620	DBASSP3_620
DBASSP3_862	DBASSP3_862
DBASSP3_1422	DBASSP3_1422
DBASSP3_1900	DBASSP3_1900
DBASSP3_2187	DBASSP3_2187
DBASSP3_2481	DBASSP3_2481
DBASSP3_2549	DBASSP3_2549
DBASSP3_2549	DBASSP3_2545
DBASSP3_2549	DBASSP3_2547
DBASSP3_2666	DBASSP3_2666
DBASSP3_2666	DBASSP3_2682
DBASSP3_2711	DBASSP3_2711
DBASSP3_2711	DBASSP3_2709
DBASSP3_3140	DBASSP3_3140
DBASSP3_3343	DBASSP3_3343
DBASSP3_3343	satpdb12506
DBASSP3_3743	DBASSP3_3743
LPDB_P2020015	LPDB_P2020015
PPepDB_3205	PPepDB_3205
PPepDB_3205	DBASSP3_12383
PPepDB_3397	PPepDB_3397
satpdb11546	satpdb11546
satpdb11546	AP00811
satpdb15823	satpdb15823
satpdb15823	DBASSP3_5293
satpdb17536	satpdb17536
satpdb17536	DBASSP3_1343
satpdb21832	satpdb21832
satpdb21832	satpdb20023
satpdb27603	satpdb27603
satpdb27603	satpdb27520
AP02242	AP02242
AP02242	satpdb16512
AP02648	AP02648
DBASSP3_17794	DBASSP3_17794
DBASSP3_17794	DBASSP3_17793
DBASSP3_17936	DBASSP3_17936
DBASSP3_18163	DBASSP3_18163
