,qseqid,sseqid,pident,length,mismatch,gapopen,qstart,qend,sstart,send,evalue,bitscore,DataBases,Code_SP,Name_SP,Organism_SP
0,AP00003,sp|P0C8Y5|DEF1_HEUSA,100.0,54,0,0,1,54,1,54,7.21e-40,127.0,APD3,P0C8Y5,DEF1,HEUSA
25,AP00004,sp|Q7M1F2|DEF1_CLITE,98.0,49,1,0,1,49,1,49,8.3e-37,119.0,APD3,Q7M1F2,DEF1,CLITE
50,AP00014,sp|P69017|AUR21_RANAE,100.0,16,0,0,1,16,1,16,0.000165,35.4,APD3,P69017,AUR21,RANAE
53,AP00015,sp|P82389|AUR22_RANAE,100.0,16,0,0,1,16,50,65,0.000382,35.4,APD3,P82389,AUR22,RANAE
56,AP00017,sp|P82391|AUR24_RANAE,93.8,16,1,0,1,16,1,16,0.000949,33.5,APD3,P82391,AUR24,RANAE
57,AP00018,sp|P69018|AUR25_RANRN,100.0,16,0,0,1,16,1,16,8.22e-05,36.2,APD3,P69018,AUR25,RANRN
61,AP00019,sp|P82393|AUR26_RANRN,100.0,16,0,0,1,16,1,16,0.000472,34.3,APD3,P82393,AUR26,RANRN
62,AP00020,sp|P69020|AUR31_RANRN,100.0,17,0,0,1,17,1,17,1.05e-05,38.5,APD3,P69020,AUR31,RANRN
67,AP00021,sp|P69023|AUR32_RANAE,100.0,17,0,0,1,17,1,17,2.11e-05,37.7,APD3,P69023,AUR32,RANAE
72,AP00022,sp|P82396|AUR33_RANRN,100.0,17,0,0,1,17,1,17,0.000172,35.4,APD3,P82396,AUR33,RANRN
75,AP00026,sp|P24627|TRFL_BOVIN,100.0,25,0,0,1,25,36,60,6.95e-12,59.3,APD3,P24627,TRFL,BOVIN
78,AP00031,sp|P81544|DEFN_HELVI,100.0,44,0,0,1,44,1,44,2.28e-32,107.0,APD3,P81544,DEFN,HELVI
83,AP00041,sp|P46164|DEFB6_BOVIN,100.0,42,0,0,1,42,1,42,1.94e-30,102.0,APD3,P46164,DEFB6,BOVIN
108,AP00050,sp|P29003|BMNL2_BOMOR,92.6,27,2,0,1,27,1,27,1.89e-09,48.5,APD3,P29003,BMNL2,BOMOR
133,AP00052,sp|P29003|BMNL2_BOMOR,96.0,25,1,0,1,25,1,25,7.01e-09,47.0,APD3,P29003,BMNL2,BOMOR
152,AP00054,sp|A0A219CM62|BMN7O_BOMOR,100.0,27,0,0,1,27,44,70,1.62e-09,51.2,APD3,A0A219CM62,BMN7O,BOMOR
177,AP00056,sp|P82285|BMNH5_BOMVA,95.0,20,1,0,1,20,1,20,4.2e-06,39.7,APD3,P82285,BMNH5,BOMVA
202,AP00058,sp|Q58T87|M1H12_BOMMX,100.0,27,0,0,1,27,44,70,4.34e-10,52.8,APD3,Q58T87,M1H12,BOMMX
227,AP00059,sp|P83081|M2H1_BOMMX,100.0,27,0,0,1,27,44,70,7.84e-11,54.7,APD3,P83081,M2H1,BOMMX
252,AP00060,sp|Q58T48|M3111_BOMMX,100.0,27,0,0,1,27,44,70,4.34e-10,52.8,APD3,Q58T48,M3111,BOMMX
277,AP00061,sp|Q58T42|M4H34_BOMMX,100.0,27,0,0,1,27,44,70,6.17e-09,49.7,APD3,Q58T42,M4H34,BOMMX
295,AP00062,sp|Q58T61|M5H43_BOMMX,100.0,27,0,0,1,27,44,70,3.95e-11,55.5,APD3,Q58T61,M5H43,BOMMX
320,AP00063,sp|Q58T91|MYHV1_BOMMX,100.0,20,0,0,1,20,122,141,0.000161,37.7,APD3,Q58T91,MYHV1,BOMMX
335,AP00067,sp|P07493|BOL2_BOMPE,100.0,17,0,0,1,17,1,17,0.000245,35.0,APD3,P07493,BOL2,BOMPE
